"id","income_children_total","income_children_total_frequency","assistance_program","case_number","address","address2","city","state","zip","phone","contact_method","email_address","ssn","no_ssn","created_at","updated_at","id","application_id","first_name","last_name","middle_initial","income_work","income_work_frequency","income_public_assistance","income_public_assistance_frequency","income_other","income_other_frequency","income_data","id","application_id","first_name","last_name","middle_initial","is_student","is_foster","is_homeless_migrant_runaway","ethnicity","race","income_data"
1738000,NULL,NULL,"snap",123456789,"5 Cedar Lane","","Washington","DC",20003,"123-456-78","contact_info_email","piaz@gmail.com",NULL,"00000001",1456239522,1456239522,2,1738000,"Ronaldo","Perez","M",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1738000,"Joe","Piaz","C","00000000","00000000","00000000","ethnicity_no_answer","null",NULL
1738000,NULL,NULL,"snap",123456789,"5 Cedar Lane","","Washington","DC",20003,"123-456-78","contact_info_email","piaz@gmail.com",NULL,"00000001",1456239522,1456239522,2,1738000,"Ronaldo","Perez","M",NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,1738000,"Sara","Piaz","B","00000000","00000000","00000000","ethnicity_no_answer","null",NULL
1738001,NULL,NULL,"snap",12345678,"901 N Pollard St","Apt 909","Arlington","VA",22203,3042314103,"contact_info_phone","mab6bf@virginia.edu",NULL,"00000000",1456239583,1456239583,3,1738001,"Michael","Bray","A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,1738001,"Michael","Bray","B","00000000","00000000","00000000","ethnicity_not_hispanic_latino","[\"race_white\"]",NULL
1738001,NULL,NULL,"snap",12345678,"901 N Pollard St","Apt 909","Arlington","VA",22203,3042314103,"contact_info_phone","mab6bf@virginia.edu",NULL,"00000000",1456239583,1456239583,3,1738001,"Michael","Bray","A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,1738001,"Michael","Bray","C","00000000","00000000","00000000","ethnicity_not_hispanic_latino","[\"race_white\"]",NULL
1738002,NULL,NULL,"snap",12345678,"901 N Pollard St","Apt 909","Arlington","VA",22203,3042314103,"contact_info_email","mab6bf@virginia.edu",NULL,"00000000",1456240038,1456240038,4,1738002,"Michael","Bray","A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,1738002,"Michael","Bray","B","00000000","00000000","00000000","ethnicity_not_hispanic_latino","[\"race_white\"]",NULL
1738002,NULL,NULL,"snap",12345678,"901 N Pollard St","Apt 909","Arlington","VA",22203,3042314103,"contact_info_email","mab6bf@virginia.edu",NULL,"00000000",1456240038,1456240038,4,1738002,"Michael","Bray","A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,1738002,"Michael","Bray","C","00000000","00000000","00000000","ethnicity_not_hispanic_latino","[\"race_white\"]",NULL
1738003,NULL,NULL,"snap",1234,"asdf","","sadf","AK","sadf","","contact_info_email","",NULL,"00000001",1456240187,1456240187,5,1738003,"jon","asd","d",NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,1738003,"Jenny","Perez","","00000000","00000000","00000000","ethnicity_no_answer","null",NULL
1738004,NULL,NULL,"snap",12345678,"901 N Pollard St","Apt 909","Arlington","VA",22203,3042314103,"contact_info_email","mab6bf@virginia.edu",NULL,"00000000",1456240482,1456240482,6,1738004,"Michael","Bray","A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,1738004,"Michael","Bray","B","00000000","00000000","00000000","ethnicity_not_hispanic_latino","[\"race_white\"]",NULL
1738004,NULL,NULL,"snap",12345678,"901 N Pollard St","Apt 909","Arlington","VA",22203,3042314103,"contact_info_email","mab6bf@virginia.edu",NULL,"00000000",1456240482,1456240482,6,1738004,"Michael","Bray","A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,1738004,"Michael","Bray","C","00000000","00000000","00000000","ethnicity_not_hispanic_latino","[\"race_white\"]",NULL
1738005,NULL,NULL,"snap",12345678,"901 N Pollard St","Apt 909","Arlington","VA",22203,3042314103,"contact_info_text","mab6bf@virginia.edu",NULL,"00000000",1456241257,1456241257,7,1738005,"Michael","Bray","A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,1738005,"Michael","Bray","B","00000000","00000000","00000000","ethnicity_not_hispanic_latino","[\"race_white\"]",NULL
